Registry order,Arcana ID,Arcana,Element,Runtime handler,Primary behavior,Compound tags,Gameplay geometry,Origin / ownership,Aim model,Max reach (units),Inner radius / dead zone,Outer radius / half-width,Multiplicity / density,Persistence (s),"Largest single footprint (sq units, est.)",Single-footprint tier,Estimated unique cast coverage (sq units),Cast-coverage tier,Coverage interpretation,Contact reliability (1-5),Full-value reliability (1-5),Reliability gap,Control,Defense,Resource / commitment,Coded full-value condition,Produces states,Naturally benefits from,Role hypothesis,Audit flags / implementation notes,Geometry confidence,Authoritative runtime source,Has audit flag
1,FLAME-STRIKE,Flame Strike,Fire,wizardFlameStrike,Attached strike,close-range; progressive footprint; charged,Expanding frontal plume,Each beat snapshots the caster frame; plume is caster-connected at emission,Activation facing; charged finisher held/released,6.15,,2.55,3 beats; charged replacement finisher,0.34,18.47,Large (12-30),18.47,Large (12-30),Charged plume estimate; reach includes 1.05 origin offset. Uncharged finisher is much smaller.,4,3,1,Outward push,Charged source mutations are not enabled,Three-beat string; hold final beat up to 1.05 s,Hold through Beat 3 for charged 28-damage plume,pushed; burning opportunity,grouped; close; pinned,Bridge,,High,src/wizard-flame-strike-runtime.js,False
2,FLAME-CROSS,Flame Cross,Fire,wizardArcana,Traveling carrier,piercing; crossing sweet spot; long lane,Four diagonal flame-wave capsules with crossing final pair,Independent projectiles launched from offset sides,Activation snapshot per combo cast,12.18,,0.66,1 + 1 + 2 waves,,2.74,Small (1-4),28.7,Large (12-30),Whole-cast union of the four current wave paths; final pair can overlap one target.,3,2,1,Light outward push,,Three-beat automatic combo,Target must occupy the final crossing region to take both finisher waves,pierced lane; overlap opportunity,aligned; pinned; grouped,Conditional payoff,,High,src/wizard-arcana-runtime.js,False
3,BOUNCING-BLAZE,Bouncing Blaze,Fire,wizardArcana,Traveling carrier,projectile; repeated lane; ground hops,Straight circular projectile capsule with two authored hops,Three independent projectiles,Activation snapshot for each emitted shot,12.4,,0.5,3 sequential shots,,0.79,Tiny (<1),13.19,Large (12-30),Unique lane coverage is approximately one capsule because all three shots reuse the same lane; density is ×3.,3,3,0,Push,,Three-shot automatic combo,No special condition; shots end on first enemy,pushed,aligned; rooted; pinned,Generalist,,High,src/wizard-arcana-runtime.js,False
4,WIND-SLASH,Wind Slash,Air,wizardWindSlash,Attached strike,frontal arc; progressive footprint,Growing frontal annular sectors,Brief caster-anchored arcs at emission,Activation facing,3.86,0.3,3.42,3 sectors,0.24,10.91,Medium (4-12),10.91,Medium (4-12),Largest third slash; max reach includes .44 forward origin offset.,4,3,1,Progressive outward push,Enhanced projectile clearing disabled,Three-beat automatic string,No special condition; full string requires target to remain in successive arcs,pushed,grouped; close,Bridge,,High,src/wizard-wind-slash-runtime.js,False
5,HOMING-FLARES,Homing Flares,Fire,wizardRebuiltArcana,Caster formation,homing; autonomous; stored ammunition; defense,Seven stored orbit slots that become homing projectile corridors,Formation follows caster; each flare independently acquires,Autonomous nearest-target acquisition,17.65,,1.65,7 flares,4.0,,Dynamic / unranked,,Dynamic / unranked,Use threat envelope rather than one area: 1.65 storage orbit + 16-unit acquisition range; seven independent lanes.,5,4,1,Knockback on contact,Each flare can trade with an eligible hostile projectile,Exactly 7 stored flares; 4 s storage lifetime,Each flare needs an eligible target inside acquisition range before storage expires,projectile intercepted; pushed; repeated autonomous hits,multiple targets; marked targets,Engine / high-floor,,High,src/wizard-rebuilt-arcana-runtime.js,False
6,DRAGON-ARC,Dragon Arc,Fire,wizardRebuiltArcana,Traveling carrier,stock release; live-aim stream; piercing,Alternating sinusoidal piercing corridors,Stock is emitted as independently owned dragons,Live aim sampled on every emission,17.0,,0.46,Up to 8 stock; alternating two wave phases,,0.66,Tiny (<1),33.85,Huge (30-70),Approximate union of the two mirrored sinusoidal paths; repeated stock increases density rather than unique geometry.,4,3,1,Knockback,,Stores 8; regenerates one every .6 s; spends all available stock,Full value scales with stored stock and target remaining in the steered stream,pierced lane; repeated hits; pushed,grouped; pinned; long corridors,Payoff platform,,High,src/wizard-rebuilt-arcana-runtime.js,False
7,WHIRLING-TORNADO,Whirling Tornado,Air,wizardRebuiltArcana,Zone / field,radial; multi-hit; pull-then-push; defensive,Fixed circular disk,World-owned at the cast position,Radial; no aim,2.75,,2.75,4 ticks + finisher,0.8,23.76,Large (12-30),23.76,Large (12-30),Entire disk is checked; the visual vortex is not a hollow ring for gameplay.,5,4,1,"Low inward force, then strong outward clear",Destroys eligible hostile projectiles,Fixed .8 s schedule,Targets must remain inside for all four ticks and finisher,grouped; projectile-cleared; pushed,enemies already close; rooted; slowed,Self-combo bridge,,High,src/wizard-rebuilt-arcana-runtime.js,False
8,WATER-PRISON,Water Prison,Water,wizardRebuiltArcana,Traveling carrier,capture; ammo; single-target control,Straight projectile capsule → attached single-target prison,Projectile becomes target-owned after first contact,Activation snapshot,14.0,,0.54,2 ammo charges; one target per projectile,5.4,0.92,Tiny (<1),16.04,Large (12-30),Swept projectile corridor; attached prison is single-target rather than floor area.,3,5,-2,Position lock for about 5.4 s,,2 charges; independent 6 s recharge,"Once first contact occurs, impact and five timed ticks are highly reliable",pinned; repeated-hit window,straight-line aim; exposed targets,Setup specialist,,High,src/wizard-rebuilt-arcana-runtime.js,False
9,AIR-SPINNER,Air Spinner,Air,wizardAirBasics,Caster formation,orbit; radial finisher; player-following,Two moving orbit discs → full radial finisher disk,Orbit follows live caster; finisher centered on current caster,First disc starts in activation aim; finisher radial,2.95,,2.95,2 orbit beats + 1 disk,0.84,27.34,Large (12-30),27.34,Large (12-30),Largest footprint is the final full disk. Orbit discs sweep an annular route around the moving caster.,5,3,2,Finisher pushes strongly outward,,Three-beat automatic string,Full value requires orbiting discs to recontact before the radial finisher,pushed; near-caster control,surrounded; grouped,Bridge,,High,src/wizard-air-basics-runtime.js,False
10,PERFORATING-JET,Perforating Jet,Air,wizardAirBasics,Traveling carrier,narrow; piercing; high density,Repeated very narrow piercing capsule,Nine independent micro-projectiles,Activation snapshot per volley,13.2,,0.2,2 + 3 + 4 jets,,0.13,Tiny (<1),5.41,Medium (4-12),"All nine jets largely reuse one narrow lane; high density, low unique area.",3,2,1,,,Three nested volleys,Full damage requires a target to remain aligned through nine independently owned jets,pierced lane; repeated hits,pinned; rooted; corridor alignment,Payoff platform,,High,src/wizard-air-basics-runtime.js,False
